"","file","if1","if2","if3"
"v","polygon_gem10_rep_1.csv","0.0553709856035437","0.00769911845093737","1"
"v.1","polygon_gem10_rep_10.csv","0.102774922918808","0.00312343828085957","1"
"v.2","polygon_gem10_rep_11.csv","0.0596065964633419","0.00404388968268946","1"
"v.3","polygon_gem10_rep_12.csv","0.1","0.00566427822934663","1"
"v.4","polygon_gem10_rep_13.csv","0.0280269058295964","0.00418506350833874","1"
"v.5","polygon_gem10_rep_14.csv","0.332778702163062","0.0026754421168098","1"
"v.6","polygon_gem10_rep_15.csv","0.0648508430609598","0.0015856152980164","1"
"v.7","polygon_gem10_rep_16.csv","0.0364166059723234","0.00151526630805364","1"
"v.8","polygon_gem10_rep_17.csv","1.10497237569061","0.00522193211488251","1"
"v.9","polygon_gem10_rep_18.csv","1.78571428571429","0.0089078923926599","1"
"v.10","polygon_gem10_rep_19.csv","0.295420974889217","0.00845094228006423","1"
"v.11","polygon_gem10_rep_2.csv","0.0184672206832872","0.00346818804515581","1"
"v.12","polygon_gem10_rep_20.csv","0.16849199663016","0.00440405760507347","1"
"v.13","polygon_gem10_rep_21.csv","0.0124843945068664","0.00266652445202923","1"
"v.14","polygon_gem10_rep_22.csv","0.02211900022119","0.00366474878147103","1"
"v.15","polygon_gem10_rep_23.csv","0.062266500622665","0.00778876859568502","1"
"v.16","polygon_gem10_rep_24.csv","0.119617224880383","0.00178756569303922","1"
"v.17","polygon_gem10_rep_25.csv","0.72463768115942","0.00302169577566931","1"
"v.18","polygon_gem10_rep_26.csv","0.106723585912487","0.00740247242579021","1"
"v.19","polygon_gem10_rep_27.csv","0.18018018018018","0.00220366248705348","1"
"v.20","polygon_gem10_rep_28.csv","0.427350427350427","0.00911286280585046","1"
"v.21","polygon_gem10_rep_29.csv","0.480769230769231","0.00333405571207095","1"
"v.22","polygon_gem10_rep_3.csv","0.0165261940175178","0.00280057131654858","1"
"v.23","polygon_gem10_rep_30.csv","0.847457627118644","0.00631492532600802","1"
"v.24","polygon_gem10_rep_4.csv","0.0730460189919649","0.00600312162324409","1"
"v.25","polygon_gem10_rep_5.csv","0.150375939849624","0.00628259094050386","1"
"v.26","polygon_gem10_rep_6.csv","0.323624595469256","0.00596587519389094","1"
"v.27","polygon_gem10_rep_7.csv","0.31055900621118","0.00608963949334199","1"
"v.28","polygon_gem10_rep_8.csv","0.134228187919463","0.00544365813826892","1"
"v.29","polygon_gem10_rep_9.csv","0.100200400801603","0.00267069050703059","1"
"v.30","polygon_gem100_rep_1.csv","0.614754098360656","0.0341513392203737","1"
"v.31","polygon_gem100_rep_10.csv","0.32258064516129","0.0267229630421421","1"
"v.32","polygon_gem100_rep_11.csv","0.279329608938547","0.0284064009090048","1"
"v.33","polygon_gem100_rep_12.csv","0.564971751412429","0.0252403087731107","1"
"v.34","polygon_gem100_rep_13.csv","0.925925925925926","0.0343459013891009","1"
"v.35","polygon_gem100_rep_14.csv","0.50761421319797","0.0263568720475235","1"
"v.36","polygon_gem100_rep_15.csv","0.483091787439614","0.0225593593141955","1"
"v.37","polygon_gem100_rep_16.csv","0.469483568075117","0.0270259032888445","1"
"v.38","polygon_gem100_rep_17.csv","0.213675213675214","0.0356467136472072","1"
"v.39","polygon_gem100_rep_18.csv","0.205338809034908","0.0236770451047709","1"
"v.40","polygon_gem100_rep_19.csv","0.289017341040462","0.0257959113480513","1"
"v.41","polygon_gem100_rep_2.csv","0.202020202020202","0.021138173192099","1"
"v.42","polygon_gem100_rep_20.csv","0.519480519480519","0.0192352903460215","1"
"v.43","polygon_gem100_rep_21.csv","0.294985250737463","0.023508668821628","1"
"v.44","polygon_gem100_rep_22.csv","0.265604249667995","0.0191338733337585","1"
"v.45","polygon_gem100_rep_23.csv","0.261780104712042","0.0375899473740737","1"
"v.46","polygon_gem100_rep_24.csv","0.628930817610063","0.0283567276336311","1"
"v.47","polygon_gem100_rep_25.csv","0.714285714285714","0.0202885482416592","1"
"v.48","polygon_gem100_rep_26.csv","0.383877159309021","0.0317119578474899","1"
"v.49","polygon_gem100_rep_27.csv","0.357142857142857","0.0172324659658797","1"
"v.50","polygon_gem100_rep_28.csv","0.407331975560081","0.0193973878184404","1"
"v.51","polygon_gem100_rep_29.csv","0.280898876404494","0.0215128942910157","1"
"v.52","polygon_gem100_rep_3.csv","0.858369098712446","0.0393348828893259","1"
"v.53","polygon_gem100_rep_30.csv","0.320512820512821","0.0237529691211401","1"
"v.54","polygon_gem100_rep_4.csv","0.467289719626168","0.0220609322949988","1"
"v.55","polygon_gem100_rep_5.csv","0.224719101123595","0.0241669939280428","1"
"v.56","polygon_gem100_rep_6.csv","0.615384615384615","0.0230367564246954","1"
"v.57","polygon_gem100_rep_7.csv","1.04895104895105","0.0334439556481696","1"
"v.58","polygon_gem100_rep_8.csv","0.288184438040346","0.0256959314775161","1"
"v.59","polygon_gem100_rep_9.csv","0.282485875706215","0.0217320438987287","1"
"v.60","polygon_gem1000_rep_1.csv","1.44230769230769","0.216566089157096","1"
"v.61","polygon_gem1000_rep_10.csv","1.06666666666667","0.185386592841606","1"
"v.62","polygon_gem1000_rep_11.csv","1.81818181818182","0.20700759027831","1"
"v.63","polygon_gem1000_rep_12.csv","0.490196078431373","0.177931483848332","1"
"v.64","polygon_gem1000_rep_13.csv","0.8","0.203257328990228","1"
"v.65","polygon_gem1000_rep_14.csv","1.37741046831956","0.220673923284818","1"
"v.66","polygon_gem1000_rep_15.csv","1.23456790123457","0.215769360750773","1"
"v.67","polygon_gem1000_rep_16.csv","1.00502512562814","0.21216232885161","1"
"v.68","polygon_gem1000_rep_17.csv","0.91324200913242","0.204424326494853","1"
"v.69","polygon_gem1000_rep_18.csv","0.550964187327824","0.223633138832481","1"
"v.70","polygon_gem1000_rep_19.csv","0.496277915632754","0.19259009605431","1"
"v.71","polygon_gem1000_rep_2.csv","0.737100737100737","0.182778229082047","1"
"v.72","polygon_gem1000_rep_20.csv","1.32275132275132","0.226244343891403","1"
"v.73","polygon_gem1000_rep_21.csv","1.40515222482436","0.198709677419355","1"
"v.74","polygon_gem1000_rep_22.csv","1.61290322580645","0.230912102806084","1"
"v.75","polygon_gem1000_rep_23.csv","0.44543429844098","0.199989474238198","1"
"v.76","polygon_gem1000_rep_24.csv","0.441501103752759","0.208072198546002","1"
"v.77","polygon_gem1000_rep_25.csv","0.826446280991736","0.213096670677898","1"
"v.78","polygon_gem1000_rep_26.csv","0.515463917525773","0.199147241300074","1"
"v.79","polygon_gem1000_rep_27.csv","1.25628140703518","0.215522642407839","1"
"v.80","polygon_gem1000_rep_28.csv","1.40515222482436","0.191529603294309","1"
"v.81","polygon_gem1000_rep_29.csv","1.2531328320802","0.176687493598279","1"
"v.82","polygon_gem1000_rep_3.csv","1.32275132275132","0.172623883021933","1"
"v.83","polygon_gem1000_rep_30.csv","1.53846153846154","0.204783334176063","1"
"v.84","polygon_gem1000_rep_4.csv","0.527704485488127","0.19180470793374","1"
"v.85","polygon_gem1000_rep_5.csv","0.497512437810945","0.22941692014229","1"
"v.86","polygon_gem1000_rep_6.csv","1.25628140703518","0.220901488455267","1"
"v.87","polygon_gem1000_rep_7.csv","1.37299771167048","0.192232820712478","1"
"v.88","polygon_gem1000_rep_8.csv","0.264550264550265","0.202255144865248","1"
"v.89","polygon_gem1000_rep_9.csv","0.793650793650794","0.215648467627359","1"
"v.90","random_rep_1.csv","0.550964187327824","1.00292746394882","1"
"v.91","random_rep_10.csv","0.72289156626506","1.0136172826866","1"
"v.92","random_rep_11.csv","0.909090909090909","0.969960188201231","1"
"v.93","random_rep_12.csv","0.91743119266055","0.99997167219059","1"
"v.94","random_rep_13.csv","0.444444444444444","1.02334505916214","1"
"v.95","random_rep_14.csv","0.424628450106157","1.04591076219815","1"
"v.96","random_rep_15.csv","0.641025641025641","1.034816019612","1"
"v.97","random_rep_16.csv","1.04712041884817","1.00874753501542","1"
"v.98","random_rep_17.csv","0.512820512820513","0.984846561920958","1"
"v.99","random_rep_18.csv","0.444444444444444","0.961241903978616","1"
"v.100","random_rep_19.csv","0.50251256281407","1.0279795949915","1"
"v.101","random_rep_2.csv","0.97323600973236","0.949615444985089","1"
"v.102","random_rep_20.csv","1.00250626566416","0.909458367016977","1"
"v.103","random_rep_21.csv","0.963855421686747","1.01219828704905","1"
"v.104","random_rep_22.csv","1.08695652173913","0.932579116343067","1"
"v.105","random_rep_23.csv","0.487804878048781","1.01174345076784","1"
"v.106","random_rep_24.csv","0.526315789473684","0.983954382707864","1"
"v.107","random_rep_25.csv","1.84331797235023","0.919338076584859","1"
"v.108","random_rep_26.csv","1.03359173126615","1.01873656189209","1"
"v.109","random_rep_27.csv","1.75879396984925","1.0187543412827","1"
"v.110","random_rep_28.csv","1.66666666666667","0.954232648571209","1"
"v.111","random_rep_29.csv","1.37741046831956","1.04432333753926","1"
"v.112","random_rep_3.csv","0.945626477541371","1.06862622991655","1"
"v.113","random_rep_30.csv","1.41242937853107","0.983271277990456","1"
"v.114","random_rep_4.csv","0.847457627118644","0.926568758344459","1"
"v.115","random_rep_5.csv","1.42045454545455","1.08787293644102","1"
"v.116","random_rep_6.csv","0.291545189504373","0.983008746663848","1"
"v.117","random_rep_7.csv","0.793650793650794","0.983164627216745","1"
"v.118","random_rep_8.csv","0.735294117647059","1.01763197823471","1"
"v.119","random_rep_9.csv","0.552486187845304","0.909959144691463","1"
