seed,ifile_name,ifile_number,tpsExtermination,radiusInfestMax,SdM,SdC,SaM,SaC,deltaSa,deltaSd,actionManager,actionController,diffRisqueGlobal,infecteTotal,infecteVariete1,infecteVariete2
-81732703,polygon_gem1000_rep,1.0,30.0,4.0,0.2,0.1,0.5,0.2,0.1,0.05,true,true,0.5,0.0,0.0,0.0
1106845110,polygon_gem1000_rep,1.0,30.0,4.0,0.2,0.1,0.5,0.2,0.1,0.1,true,true,0.5,0.0,0.0,0.0
159840210,polygon_gem1000_rep,1.0,30.0,4.0,0.30000000000000004,0.1,0.1,0.2,0.0,0.0,true,true,0.5,0.0,0.0,0.0
640266522,polygon_gem1000_rep,1.0,30.0,4.0,0.30000000000000004,0.1,0.1,0.2,0.0,0.05,true,true,0.5,0.0,0.0,0.0
-1585413004,polygon_gem1000_rep,1.0,30.0,4.0,0.30000000000000004,0.1,0.1,0.2,0.0,0.1,true,true,0.5,0.0,0.0,0.0
-570387772,polygon_gem1000_rep,1.0,30.0,4.0,0.30000000000000004,0.1,0.1,0.2,0.05,0.0,true,true,0.5,0.0,0.0,0.0
1281554160,polygon_gem1000_rep,1.0,30.0,4.0,0.30000000000000004,0.1,0.1,0.2,0.05,0.1,true,true,0.5,0.0,0.0,0.0
-1880323649,polygon_gem1000_rep,1.0,30.0,4.0,0.30000000000000004,0.1,0.1,0.2,0.1,0.0,true,true,0.5,0.0,0.0,0.0
-721007509,polygon_gem1000_rep,1.0,30.0,4.0,0.30000000000000004,0.1,0.1,0.2,0.1,0.05,true,true,0.5,0.0,0.0,0.0
900954417,polygon_gem1000_rep,1.0,30.0,4.0,0.30000000000000004,0.1,0.1,0.2,0.1,0.1,true,true,0.5,0.0,0.0,0.0
-476739052,polygon_gem1000_rep,1.0,30.0,4.0,0.30000000000000004,0.1,0.2,0.2,0.0,0.0,true,true,0.5,0.0,0.0,0.0
-830201681,polygon_gem1000_rep,1.0,30.0,4.0,0.30000000000000004,0.1,0.2,0.2,0.0,0.05,true,true,0.5,0.0,0.0,0.0
1282509968,polygon_gem1000_rep,1.0,30.0,4.0,0.30000000000000004,0.1,0.2,0.2,0.0,0.1,true,true,0.5,0.0,0.0,0.0
-1805063237,polygon_gem1000_rep,1.0,30.0,4.0,0.30000000000000004,0.1,0.2,0.2,0.05,0.0,true,true,0.5,0.0,0.0,0.0
157663087,polygon_gem1000_rep,1.0,30.0,4.0,0.30000000000000004,0.1,0.2,0.2,0.05,0.05,true,true,0.5,0.0,0.0,0.0
1678945194,random_rep,1.0,30.0,4.0,0.1,0.1,0.1,0.2,0.0,0.0,true,true,0.5,0.0,0.0,0.0
1569531034,random_rep,1.0,30.0,4.0,0.1,0.1,0.1,0.2,0.05,0.1,true,true,0.5,0.0,0.0,0.0
-756467153,random_rep,1.0,30.0,4.0,0.1,0.1,0.1,0.2,0.1,0.0,true,true,0.5,0.0,0.0,0.0
-105199039,random_rep,1.0,30.0,4.0,0.1,0.1,0.1,0.2,0.05,0.05,true,true,0.5,0.0,0.0,0.0
259113461,random_rep,1.0,30.0,4.0,0.1,0.1,0.1,0.2,0.1,0.05,true,true,0.5,0.0,0.0,0.0
-648543554,random_rep,1.0,30.0,4.0,0.1,0.1,0.2,0.2,0.0,0.0,true,true,0.5,0.0,0.0,0.0
475891162,random_rep,1.0,30.0,4.0,0.1,0.1,0.2,0.2,0.0,0.05,true,true,0.5,0.0,0.0,0.0
450876191,random_rep,1.0,30.0,4.0,0.1,0.1,0.2,0.2,0.0,0.1,true,true,0.5,0.0,0.0,0.0
930029700,random_rep,1.0,30.0,4.0,0.1,0.1,0.2,0.2,0.05,0.0,true,true,0.5,0.0,0.0,0.0
1495767829,random_rep,1.0,30.0,4.0,0.1,0.1,0.2,0.2,0.05,0.05,true,true,0.5,0.0,0.0,0.0
-1649624874,random_rep,1.0,30.0,4.0,0.1,0.1,0.2,0.2,0.05,0.1,true,true,0.5,0.0,0.0,0.0
-385808410,random_rep,1.0,30.0,4.0,0.1,0.1,0.2,0.2,0.1,0.0,true,true,0.5,0.0,0.0,0.0
963548907,random_rep,1.0,30.0,4.0,0.1,0.1,0.1,0.2,0.1,0.1,true,true,0.5,0.0,0.0,0.0
