"","file","if1","if2","if3"
"v","polygon_gem10_rep_1.csv","0.00876501007976159","0.00133962061944057","0.00769911845093737"
"v.1","polygon_gem10_rep_10.csv","0.00889838049474996","0.00630875023657813","0.00312343828085957"
"v.2","polygon_gem10_rep_11.csv","0.0226295541977823","0.00394135267223711","0.00404388968268946"
"v.3","polygon_gem10_rep_12.csv","0.018811136192626","0.00278144774355052","0.00566427822934663"
"v.4","polygon_gem10_rep_13.csv","0.0495785820525533","0.00137797988149373","0.00418506350833874"
"v.5","polygon_gem10_rep_14.csv","0.00333934415280839","0.0169376693766938","0.0026754421168098"
"v.6","polygon_gem10_rep_15.csv","0.00721552781585973","0.00228383501575846","0.0015856152980164"
"v.7","polygon_gem10_rep_16.csv","0.0250187640730548","0.00461098644369986","0.00151526630805364"
"v.8","polygon_gem10_rep_17.csv","0.0034721016631367","0.00879043600562588","0.00522193211488251"
"v.9","polygon_gem10_rep_18.csv","0.0013321610316255","0.0268997982515131","0.0089078923926599"
"v.10","polygon_gem10_rep_19.csv","0.00355189315905378","0.001539219307967","0.00845094228006423"
"v.11","polygon_gem10_rep_2.csv","0.0498504486540379","0.00278726221169256","0.00346818804515581"
"v.12","polygon_gem10_rep_20.csv","0.0056860180815375","0.00646684127138099","0.00440405760507347"
"v.13","polygon_gem10_rep_21.csv","0.0755857898715042","0.00325563224378174","0.00266652445202923"
"v.14","polygon_gem10_rep_22.csv","0.0632244467860906","0.00279434982465455","0.00366474878147103"
"v.15","polygon_gem10_rep_23.csv","0.0151366078861727","0.00147839328218093","0.00778876859568502"
"v.16","polygon_gem10_rep_24.csv","0.00410475330432641","0.00523341009001465","0.00178756569303922"
"v.17","polygon_gem10_rep_25.csv","0.0043105306263201","0.0098941327792619","0.00302169577566931"
"v.18","polygon_gem10_rep_26.csv","0.00469329328389731","0.00295447159275564","0.00740247242579021"
"v.19","polygon_gem10_rep_27.csv","0.00623810860547082","0.00491642084562439","0.00220366248705348"
"v.20","polygon_gem10_rep_28.csv","0.00382716521872249","0.00669299243691855","0.00911286280585046"
"v.21","polygon_gem10_rep_29.csv","0.00541682465738584","0.00473821369343757","0.00333405571207095"
"v.22","polygon_gem10_rep_3.csv","0.0801068090787717","0.00273130761351997","0.00280057131654858"
"v.23","polygon_gem10_rep_30.csv","0.00136047017849369","0.00943307235166494","0.00631492532600802"
"v.24","polygon_gem10_rep_4.csv","0.012592079581943","0.00440548041763954","0.00600312162324409"
"v.25","polygon_gem10_rep_5.csv","0.00722935116573288","0.0017100740462062","0.00628259094050386"
"v.26","polygon_gem10_rep_6.csv","0.00433022278996254","0.00528057452650848","0.00596587519389094"
"v.27","polygon_gem10_rep_7.csv","0.00451222813825467","0.00404318117494845","0.00608963949334199"
"v.28","polygon_gem10_rep_8.csv","0.00772499034376207","0.00536960801861464","0.00544365813826892"
"v.29","polygon_gem10_rep_9.csv","0.0185322461082283","0.00989805008413343","0.00267069050703059"
"v.30","polygon_gem100_rep_1.csv","0.022663531544803","0.0334840113845639","0.0341513392203737"
"v.31","polygon_gem100_rep_10.csv","0.0154426526064992","0.0306945335826102","0.0267229630421421"
"v.32","polygon_gem100_rep_11.csv","0.0165653027900703","0.026892564205997","0.0284064009090048"
"v.33","polygon_gem100_rep_12.csv","0.0229758294274423","0.0478064207700511","0.0252403087731107"
"v.34","polygon_gem100_rep_13.csv","0.0238694159337532","0.0292584317480583","0.0343459013891009"
"v.35","polygon_gem100_rep_14.csv","0.0325693115661768","0.0180489125530187","0.0263568720475235"
"v.36","polygon_gem100_rep_15.csv","0.0185705947896217","0.0432775533756492","0.0225593593141955"
"v.37","polygon_gem100_rep_16.csv","0.0297120630976176","0.0301977955609241","0.0270259032888445"
"v.38","polygon_gem100_rep_17.csv","0.0196822718965275","0.028006376836572","0.0356467136472072"
"v.39","polygon_gem100_rep_18.csv","0.0254129606099111","0.0221005328684036","0.0236770451047709"
"v.40","polygon_gem100_rep_19.csv","0.0296098897031609","0.0289171634487054","0.0257959113480513"
"v.41","polygon_gem100_rep_2.csv","0.0195165472439847","0.0300729268476054","0.021138173192099"
"v.42","polygon_gem100_rep_20.csv","0.0255963960274393","0.0184643791352516","0.0192352903460215"
"v.43","polygon_gem100_rep_21.csv","0.0272430076280421","0.0172197485916706","0.023508668821628"
"v.44","polygon_gem100_rep_22.csv","0.0388168620448723","0.0217009179488292","0.0191338733337585"
"v.45","polygon_gem100_rep_23.csv","0.0316332489780027","0.0168776371308017","0.0375899473740737"
"v.46","polygon_gem100_rep_24.csv","0.0196459365654537","0.0427181913774974","0.0283567276336311"
"v.47","polygon_gem100_rep_25.csv","0.0255558395093279","0.018723523767173","0.0202885482416592"
"v.48","polygon_gem100_rep_26.csv","0.0508403612656259","0.0226121562952243","0.0317119578474899"
"v.49","polygon_gem100_rep_27.csv","0.0219642296830875","0.029812183245553","0.0172324659658797"
"v.50","polygon_gem100_rep_28.csv","0.037796191306876","0.0242046096334346","0.0193973878184404"
"v.51","polygon_gem100_rep_29.csv","0.0228190676128973","0.0160282096489822","0.0215128942910157"
"v.52","polygon_gem100_rep_3.csv","0.0255162126089346","0.015222244773696","0.0393348828893259"
"v.53","polygon_gem100_rep_30.csv","0.0489835904971834","0.0227488935765397","0.0237529691211401"
"v.54","polygon_gem100_rep_4.csv","0.036229258749366","0.0197398723488255","0.0220609322949988"
"v.55","polygon_gem100_rep_5.csv","0.022037353313867","0.0268550652784664","0.0241669939280428"
"v.56","polygon_gem100_rep_6.csv","0.027403516784654","0.0198897539353299","0.0230367564246954"
"v.57","polygon_gem100_rep_7.csv","0.0173178915467042","0.0299706287837919","0.0334439556481696"
"v.58","polygon_gem100_rep_8.csv","0.0456169695126587","0.024265954865324","0.0256959314775161"
"v.59","polygon_gem100_rep_9.csv","0.0298696934622708","0.027366270159819","0.0217320438987287"
"v.60","polygon_gem1000_rep_1.csv","0.17604680136504","0.20385564000604","0.216566089157096"
"v.61","polygon_gem1000_rep_10.csv","0.228138788608103","0.202493031083995","0.185386592841606"
"v.62","polygon_gem1000_rep_11.csv","0.192426298260762","0.196154342495806","0.20700759027831"
"v.63","polygon_gem1000_rep_12.csv","0.213680781758958","0.208742327476951","0.177931483848332"
"v.64","polygon_gem1000_rep_13.csv","0.196263539699891","0.213342703679534","0.203257328990228"
"v.65","polygon_gem1000_rep_14.csv","0.208742327476951","0.201281847555485","0.220673923284818"
"v.66","polygon_gem1000_rep_15.csv","0.19466614755694","0.216455861259617","0.215769360750773"
"v.67","polygon_gem1000_rep_16.csv","0.215479441757911","0.208459772541362","0.21216232885161"
"v.68","polygon_gem1000_rep_17.csv","0.188402763240528","0.202211528616771","0.204424326494853"
"v.69","polygon_gem1000_rep_18.csv","0.182555300030821","0.215288113969806","0.223633138832481"
"v.70","polygon_gem1000_rep_19.csv","0.213146676490711","0.20125915987202","0.19259009605431"
"v.71","polygon_gem1000_rep_2.csv","0.200829743942076","0.185392984339172","0.182778229082047"
"v.72","polygon_gem1000_rep_20.csv","0.198642192607493","0.223367261466609","0.226244343891403"
"v.73","polygon_gem1000_rep_21.csv","0.19535768449734","0.209096947184571","0.198709677419355"
"v.74","polygon_gem1000_rep_22.csv","0.188353476691257","0.192827807272363","0.230912102806084"
"v.75","polygon_gem1000_rep_23.csv","0.220603869870296","0.216651912593766","0.199989474238198"
"v.76","polygon_gem1000_rep_24.csv","0.209777686817263","0.171566116972242","0.208072198546002"
"v.77","polygon_gem1000_rep_25.csv","0.203892932501956","0.179640718562874","0.213096670677898"
"v.78","polygon_gem1000_rep_26.csv","0.194059200993583","0.185758513931889","0.199147241300074"
"v.79","polygon_gem1000_rep_27.csv","0.205457142141264","0.20440251572327","0.215522642407839"
"v.80","polygon_gem1000_rep_28.csv","0.214851618101249","0.210547677633749","0.191529603294309"
"v.81","polygon_gem1000_rep_29.csv","0.24390243902439","0.209032258064516","0.176687493598279"
"v.82","polygon_gem1000_rep_3.csv","0.223673385438091","0.210816915547748","0.172623883021933"
"v.83","polygon_gem1000_rep_30.csv","0.181695995221146","0.195392842451666","0.204783334176063"
"v.84","polygon_gem1000_rep_4.csv","0.237294838837255","0.216432865731463","0.19180470793374"
"v.85","polygon_gem1000_rep_5.csv","0.212303742470623","0.165182604206994","0.22941692014229"
"v.86","polygon_gem1000_rep_6.csv","0.21297386685375","0.203605303669861","0.220901488455267"
"v.87","polygon_gem1000_rep_7.csv","0.193882497002475","0.195984956830341","0.192232820712478"
"v.88","polygon_gem1000_rep_8.csv","0.203671108876037","0.189311571030213","0.202255144865248"
"v.89","polygon_gem1000_rep_9.csv","0.193613276338949","0.207330807822259","0.215648467627359"
"v.90","random_rep_1.csv","0.998981138639696","0.938593316443479","1.00292746394882"
"v.91","random_rep_10.csv","0.990020171992781","1.01310798482739","1.0136172826866"
"v.92","random_rep_11.csv","0.984102952308857","1.03054103404287","0.969960188201231"
"v.93","random_rep_12.csv","1.06090724320461","0.999843366574427","0.99997167219059"
"v.94","random_rep_13.csv","0.994174757281553","0.969222044646079","1.02334505916214"
"v.95","random_rep_14.csv","0.980521711552184","1.02553840766402","1.04591076219815"
"v.96","random_rep_15.csv","1.01779131271037","0.948512968151557","1.034816019612"
"v.97","random_rep_16.csv","1.00781884646629","1.00274167343623","1.00874753501542"
"v.98","random_rep_17.csv","0.978171590711103","1.0130171413842","0.984846561920958"
"v.99","random_rep_18.csv","0.999352750809061","1.01524090462144","0.961241903978616"
"v.100","random_rep_19.csv","1.00571205389835","0.933158043977006","1.0279795949915"
"v.101","random_rep_2.csv","0.981710255954948","1.0555705223972","0.949615444985089"
"v.102","random_rep_20.csv","1.00547536087606","1.07172514012871","0.909458367016977"
"v.103","random_rep_21.csv","1.01166925426954","1.04322664162246","1.01219828704905"
