"BehaviorSpace results (NetLogo 6.0.2)"
"COMPOTE.nlogo"
"experiment-dynDesease"
"06/13/2018 17:02:07:712 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","i-nb_managers","i-Svar1","i-radiusInfestMax","i-alpha","i-betap","i-Svar2","i-rProd","i-file_number","i-file_name","i-tpsExtermination","i-Svar3","i-Iinit","[step]","pct_infected_tot","pct_var1","pct_var2"
"7","0","0.5","1","1","0.5","0.1","0.25","2","""random_rep""","30","0.9","0.005","450","1.0E-4","1.0E-4","0"
"1","0","0.5","1","1","0.5","0.1","0.25","1","""random_rep""","30","0.9","0.005","450","1.0E-4","1.0E-4","0"
"2","0","0.5","2","1","0.5","0.1","0.25","1","""random_rep""","30","0.9","0.005","450","0.0748","0.0272","0.0204"
"3","0","0.5","4","1","0.5","0.1","0.25","1","""random_rep""","30","0.9","0.005","450","0.5178","0.1742","0.1623"
"8","0","0.5","2","1","0.5","0.1","0.25","2","""random_rep""","30","0.9","0.005","450","0.0623","0.0202","0.0191"
"9","0","0.5","4","1","0.5","0.1","0.25","2","""random_rep""","30","0.9","0.005","450","0.275","0.0932","0.0831"
"13","0","0.5","1","1","0.5","0.1","0.25","3","""random_rep""","30","0.9","0.005","450","1.0E-4","0","1.0E-4"
"14","0","0.5","2","1","0.5","0.1","0.25","3","""random_rep""","30","0.9","0.005","450","0.073","0.0238","0.0223"
"15","0","0.5","4","1","0.5","0.1","0.25","3","""random_rep""","30","0.9","0.005","450","0.2812","0.0947","0.0878"
"4","0","0.5","8","1","0.5","0.1","0.25","1","""random_rep""","30","0.9","0.005","450","1","0.3311","0.328"
"10","0","0.5","8","1","0.5","0.1","0.25","2","""random_rep""","30","0.9","0.005","450","0.9997","0.334","0.3288"
"19","0","0.5","1","1","0.5","0.1","0.25","4","""random_rep""","30","0.9","0.005","450","1.0E-4","1.0E-4","0"
"16","0","0.5","8","1","0.5","0.1","0.25","3","""random_rep""","30","0.9","0.005","450","0.9949","0.3337","0.3303"
"20","0","0.5","2","1","0.5","0.1","0.25","4","""random_rep""","30","0.9","0.005","450","0.0555","0.0191","0.0155"
"21","0","0.5","4","1","0.5","0.1","0.25","4","""random_rep""","30","0.9","0.005","450","0.3916","0.1337","0.1174"
"22","0","0.5","8","1","0.5","0.1","0.25","4","""random_rep""","30","0.9","0.005","450","1","0.3288","0.3321"
"11","0","0.5","16","1","0.5","0.1","0.25","2","""random_rep""","30","0.9","0.005","450","1","0.334","0.3291"
"25","0","0.5","1","1","0.5","0.1","0.25","5","""random_rep""","30","0.9","0.005","450","1.0E-4","1.0E-4","0"
"17","0","0.5","16","1","0.5","0.1","0.25","3","""random_rep""","30","0.9","0.005","450","1","0.3341","0.335"
"26","0","0.5","2","1","0.5","0.1","0.25","5","""random_rep""","30","0.9","0.005","450","0.074","0.026","0.02"
"27","0","0.5","4","1","0.5","0.1","0.25","5","""random_rep""","30","0.9","0.005","450","0.5633","0.1868","0.18"
"5","0","0.5","16","1","0.5","0.1","0.25","1","""random_rep""","30","0.9","0.005","450","1","0.3311","0.328"
"23","0","0.5","16","1","0.5","0.1","0.25","4","""random_rep""","30","0.9","0.005","450","1","0.3288","0.3321"
"31","0","0.5","1","1","0.5","0.1","0.25","6","""random_rep""","30","0.9","0.005","450","1.0E-4","0","0"
"32","0","0.5","2","1","0.5","0.1","0.25","6","""random_rep""","30","0.9","0.005","450","0.092","0.0302","0.0293"
